EXP_NAME,EXPERIMENTER,MODEL_FAMILY,FEATURE_MODE,SEED,N_FOLDS,VALIDATION_SCHEME,VAL_SIZE,VAL_STRATIFY,USE_STRATIFIED_KFOLD,SHUFFLE_FOLDS,FOLDS_RANDOM_STATE,SCALER_TYPE,MISSING_VALUE_STRATEGY,MISSING_FILL_VALUE,USE_PCA,PCA_N_COMPONENTS,PCA_WHITEN,PCA_SVD_SOLVER,IMBALANCE_MODE,DECISION_THRESHOLD,train_size,cv_f1_macro_mean,cv_f1_macro_std,cv_f1_macro_per_fold,public_lb_f1_macro,private_lb_f1_macro,train_time_sec,submission_file,notes,config_json
66A,Zuha,svm,img+text,42,3,cv_only,0.2,True,True,True,42,standard,mean,0.0,True,64,True,full,none,0.5,1530,0.576358481270603,0.050612213780185815,"[0.6293011050744725, 0.5916029123701815, 0.5081714263671548]",,,0.038767337799072266,,,
67A,Zuha,svm,img+text,42,3,cv_only,0.2,True,True,True,42,standard,mean,0.0,True,64,True,full,none,0.5,1530,0.46428571428571425,5.551115123125783e-17,"[0.4642857142857143, 0.4642857142857143, 0.4642857142857143]",,,0.04472780227661133,,,
68A,Zuha,svm,img+text,42,3,cv_only,0.2,True,True,True,42,standard,mean,0.0,True,64,True,full,none,0.5,1530,0.46428571428571425,5.551115123125783e-17,"[0.4642857142857143, 0.4642857142857143, 0.4642857142857143]",,,0.04224085807800293,,,
69A,Zuha,svm,img+text,42,3,cv_only,0.2,True,True,True,42,standard,mean,0.0,True,64,True,full,none,0.5,1530,0.576358481270603,0.050612213780185815,"[0.6293011050744725, 0.5916029123701815, 0.5081714263671548]",,,0.09299373626708984,,,
70A,Zuha,svm,img+text,42,3,cv_only,0.2,True,True,True,42,standard,mean,0.0,True,64,True,full,none,0.5,1530,0.576358481270603,0.050612213780185815,"[0.6293011050744725, 0.5916029123701815, 0.5081714263671548]",,,0.10025191307067871,,,
71A,Zuha,svm,img+text,42,3,cv_only,0.2,True,True,True,42,standard,mean,0.0,True,64,True,full,none,0.5,1530,0.46428571428571425,5.551115123125783e-17,"[0.4642857142857143, 0.4642857142857143, 0.4642857142857143]",,,0.029797792434692383,,,
72A,Zuha,svm,img+text,42,3,cv_only,0.2,True,True,True,42,standard,mean,0.0,True,64,True,full,none,0.5,1530,0.46428571428571425,5.551115123125783e-17,"[0.4642857142857143, 0.4642857142857143, 0.4642857142857143]",,,0.03631281852722168,,,
73A,Zuha,svm,img+text,42,3,cv_only,0.2,True,True,True,42,standard,mean,0.0,True,64,True,full,none,0.5,1530,0.576358481270603,0.050612213780185815,"[0.6293011050744725, 0.5916029123701815, 0.5081714263671548]",,,0.08803033828735352,,,
74A,Zuha,svm,img+text,42,3,cv_only,0.2,True,True,True,42,standard,mean,0.0,True,64,True,full,none,0.5,1530,0.576358481270603,0.050612213780185815,"[0.6293011050744725, 0.5916029123701815, 0.5081714263671548]",,,0.03421616554260254,,,
75A,Zuha,svm,img+text,42,3,cv_only,0.2,True,True,True,42,standard,mean,0.0,True,64,True,full,none,0.5,1530,0.46428571428571425,5.551115123125783e-17,"[0.4642857142857143, 0.4642857142857143, 0.4642857142857143]",,,0.03020501136779785,,,
76A,Zuha,svm,img+text,42,3,cv_only,0.2,True,True,True,42,standard,mean,0.0,True,64,True,full,none,0.5,1530,0.46428571428571425,5.551115123125783e-17,"[0.4642857142857143, 0.4642857142857143, 0.4642857142857143]",,,0.024485349655151367,,,
77A,Zuha,svm,img+text,42,3,cv_only,0.2,True,True,True,42,standard,mean,0.0,True,64,True,full,none,0.5,1530,0.576358481270603,0.050612213780185815,"[0.6293011050744725, 0.5916029123701815, 0.5081714263671548]",,,0.030539512634277344,,,
78A,Zuha,svm,img+text,42,3,cv_only,0.2,True,True,True,42,standard,mean,0.0,True,64,True,full,none,0.5,1530,0.576358481270603,0.050612213780185815,"[0.6293011050744725, 0.5916029123701815, 0.5081714263671548]",,,0.030751943588256836,,,
79A,Zuha,svm,img+text,42,3,cv_only,0.2,True,True,True,42,standard,mean,0.0,True,64,True,full,none,0.5,1530,0.46428571428571425,5.551115123125783e-17,"[0.4642857142857143, 0.4642857142857143, 0.4642857142857143]",,,0.03865337371826172,,,
80A,Zuha,svm,img+text,42,3,cv_only,0.2,True,True,True,42,standard,mean,0.0,True,64,True,full,none,0.5,1530,0.46428571428571425,5.551115123125783e-17,"[0.4642857142857143, 0.4642857142857143, 0.4642857142857143]",,,0.028143882751464844,,,
81A,Zuha,svm,img+text,42,3,cv_only,0.2,True,True,True,42,standard,mean,0.0,True,64,True,full,none,0.5,1530,0.576358481270603,0.050612213780185815,"[0.6293011050744725, 0.5916029123701815, 0.5081714263671548]",,,0.04953455924987793,,,
82A,Zuha,svm,img+text,42,3,cv_only,0.2,True,True,True,42,standard,mean,0.0,True,64,True,full,none,0.5,1530,0.576358481270603,0.050612213780185815,"[0.6293011050744725, 0.5916029123701815, 0.5081714263671548]",,,0.03647494316101074,,,
83A,Zuha,svm,img+text,42,3,cv_only,0.2,True,True,True,42,standard,mean,0.0,True,64,True,full,none,0.5,1530,0.46428571428571425,5.551115123125783e-17,"[0.4642857142857143, 0.4642857142857143, 0.4642857142857143]",,,0.03416752815246582,,,
