commit_hash,date,author,subject,status,file_path,old_file_path
667a01da497ac9196fa214c3f82e43c8b62c751b,2025-11-16,Zuha Aqib,Merge branch 'main' of https://github.com/z-aqib/ml-competition,,,
7ea4b16a3a15af6a49b1ce59efd8d2b72a11f115,2025-11-16,Zuha Aqib,"experiment 21A, 0.7228",M,04-logregression.ipynb,
7ea4b16a3a15af6a49b1ce59efd8d2b72a11f115,2025-11-16,Zuha Aqib,"experiment 21A, 0.7228",M,logs/experiments_log_Zuha.csv,
7ea4b16a3a15af6a49b1ce59efd8d2b72a11f115,2025-11-16,Zuha Aqib,"experiment 21A, 0.7228",M,logs/logreg_Zuha.csv,
7ea4b16a3a15af6a49b1ce59efd8d2b72a11f115,2025-11-16,Zuha Aqib,"experiment 21A, 0.7228",M,submissions/logreg_Zuha.csv,
1a573fe9f25c42fa709055cb9a667f23fef9171e,2025-11-16,maryamihsan,Merge branch 'main' of https://github.com/z-aqib/ml-competition,,,
a5a6e4f1a954f5d29e1bd83eb176e8907239f16b,2025-11-16,maryamihsan,"experiment 8B, 0.4962",M,02-xgboost.ipynb,
a5a6e4f1a954f5d29e1bd83eb176e8907239f16b,2025-11-16,maryamihsan,"experiment 8B, 0.4962",M,logs/experiments_log_Maryam.csv,
a5a6e4f1a954f5d29e1bd83eb176e8907239f16b,2025-11-16,maryamihsan,"experiment 8B, 0.4962",M,logs/xgboost_Maryam.csv,
a5a6e4f1a954f5d29e1bd83eb176e8907239f16b,2025-11-16,maryamihsan,"experiment 8B, 0.4962",M,submissions/submission.csv,
a5a6e4f1a954f5d29e1bd83eb176e8907239f16b,2025-11-16,maryamihsan,"experiment 8B, 0.4962",A,submissions/xgboost_Maryam.csv,
7aa1919d8e7ac9a743182f62271aff270f109a89,2025-11-16,Zuha Aqib,"experiment 20A, 0.6862",M,04-logregression.ipynb,
7aa1919d8e7ac9a743182f62271aff270f109a89,2025-11-16,Zuha Aqib,"experiment 20A, 0.6862",M,logs/experiments_log_Zuha.csv,
7aa1919d8e7ac9a743182f62271aff270f109a89,2025-11-16,Zuha Aqib,"experiment 20A, 0.6862",M,logs/logreg_Zuha.csv,
7aa1919d8e7ac9a743182f62271aff270f109a89,2025-11-16,Zuha Aqib,"experiment 20A, 0.6862",M,submissions/logreg_Zuha.csv,
3a8073ea0645783a023854febd9a524d561dee25,2025-11-16,Zuha Aqib,Merge branch 'main' of https://github.com/z-aqib/ml-competition,,,
2d1e6ce3729676bc8432a3d670b93241987999ec,2025-11-16,maryamihsan,"experiment 7B, 0.5199",M,02-xgboost.ipynb,
2d1e6ce3729676bc8432a3d670b93241987999ec,2025-11-16,maryamihsan,"experiment 7B, 0.5199",M,logs/experiments_log_Maryam.csv,
2d1e6ce3729676bc8432a3d670b93241987999ec,2025-11-16,maryamihsan,"experiment 7B, 0.5199",M,logs/xgboost_Maryam.csv,
2d1e6ce3729676bc8432a3d670b93241987999ec,2025-11-16,maryamihsan,"experiment 7B, 0.5199",M,submissions/submission.csv,
1810d593f20000cb1b65155bdb8e2fb90d384e09,2025-11-16,Zuha Aqib,Merge branch 'main' of https://github.com/z-aqib/ml-competition,,,
36bb9805b34da62c2fec40fe9e5508da9214f045,2025-11-16,Zuha Aqib,"experiment 19A, 0.6745",M,04-logregression.ipynb,
36bb9805b34da62c2fec40fe9e5508da9214f045,2025-11-16,Zuha Aqib,"experiment 19A, 0.6745",M,logs/experiments_log_Zuha.csv,
36bb9805b34da62c2fec40fe9e5508da9214f045,2025-11-16,Zuha Aqib,"experiment 19A, 0.6745",M,logs/logreg_Zuha.csv,
36bb9805b34da62c2fec40fe9e5508da9214f045,2025-11-16,Zuha Aqib,"experiment 19A, 0.6745",M,submissions/logreg_Zuha.csv,
abd3221cda80183e36c10e2b9808006bed768994,2025-11-16,maryamihsan,"experiment 6B, 0.5628",M,02-xgboost.ipynb,
abd3221cda80183e36c10e2b9808006bed768994,2025-11-16,maryamihsan,"experiment 6B, 0.5628",M,logs/experiments_log_Maryam.csv,
abd3221cda80183e36c10e2b9808006bed768994,2025-11-16,maryamihsan,"experiment 6B, 0.5628",M,logs/xgboost_Maryam.csv,
abd3221cda80183e36c10e2b9808006bed768994,2025-11-16,maryamihsan,"experiment 6B, 0.5628",M,submissions/submission.csv,
df1c951158aa003215284a7074cab04b62e22608,2025-11-16,Zuha Aqib,"experiment 18A, 0.6714",M,04-logregression.ipynb,
df1c951158aa003215284a7074cab04b62e22608,2025-11-16,Zuha Aqib,"experiment 18A, 0.6714",M,logs/experiments_log_Zuha.csv,
df1c951158aa003215284a7074cab04b62e22608,2025-11-16,Zuha Aqib,"experiment 18A, 0.6714",M,logs/logreg_Zuha.csv,
df1c951158aa003215284a7074cab04b62e22608,2025-11-16,Zuha Aqib,"experiment 18A, 0.6714",A,submissions/logreg_Zuha.csv,
fb872a0ab55cf479f016c9ff46f487983818e962,2025-11-16,maryamihsan,"experiment 5B, 0.4973",M,02-xgboost.ipynb,
fb872a0ab55cf479f016c9ff46f487983818e962,2025-11-16,maryamihsan,"experiment 5B, 0.4973",M,logs/experiments_log_Maryam.csv,
